Time,GSR Reading
1585078042310,10.335541345994308
1585078042334,10.335541345994308
1585078042379,2.875457875457876
1585078042387,-17.967032967032964
1585078042398,-17.967032967032964
1585078042420,-17.967032967032964
1585078042441,-17.967032967032964
1585078042462,-17.967032967032964
1585078042517,-17.967032967032964
1585078042518,-17.967032967032964
1585078042526,-17.967032967032964
1585078042548,-17.967032967032964
1585078042556,-17.967032967032964
1585078042575,-17.967032967032964
1585078042598,-17.967032967032964
1585078042619,-17.967032967032964
1585078042639,-17.967032967032964
1585078042660,-8.58974358974359
1585078042686,-17.967032967032964
1585078042687,-17.967032967032964
1585078042711,-17.967032967032964
1585078042733,-17.967032967032964
1585078042757,-17.967032967032964
1585078042774,-17.967032967032964
1585078042794,-17.967032967032964
1585078042815,-17.967032967032964
1585078042836,-8.58974358974359
1585078042864,-17.967032967032964
1585078042871,-17.967032967032964
1585078042889,-17.967032967032964
1585078042914,-17.967032967032964
1585078042931,-8.58974358974359
1585078042968,-17.967032967032964
1585078042973,-17.967032967032964
1585078042991,-17.967032967032964
1585078043013,-17.967032967032964
1585078043026,-17.967032967032964
1585078043068,-17.967032967032964
1585078043069,-17.967032967032964
1585078043086,-17.967032967032964
1585078043107,-17.967032967032964
1585078043130,-8.58974358974359
1585078043147,-17.967032967032964
1585078043176,-8.58974358974359
1585078043177,-17.967032967032964
1585078043218,-17.967032967032964
1585078043223,-17.967032967032964
1585078043243,-17.967032967032964
1585078043264,-17.967032967032964
1585078043296,-17.967032967032964
1585078043305,-17.967032967032964
1585078043339,-17.967032967032964
1585078043340,-17.967032967032964
1585078043356,-17.967032967032964
1585078043378,-17.967032967032964
1585078043398,-17.967032967032964
1585078043420,-17.967032967032964
1585078043439,-17.967032967032964
1585078043461,-17.967032967032964
1585078043480,-17.967032967032964
1585078043493,-17.967032967032964
1585078043534,-8.58974358974359
1585078043535,-17.967032967032964
1585078043583,-17.967032967032964
1585078043587,-17.967032967032964
1585078043619,-17.967032967032964
1585078043621,-17.967032967032964
1585078043641,-17.967032967032964
1585078043651,-17.967032967032964
1585078043683,-17.967032967032964
1585078043691,-17.967032967032964
1585078043722,-17.967032967032964
1585078043734,-17.967032967032964
1585078043860,-17.967032967032964
1585078043863,-17.967032967032964
1585078043866,-17.967032967032964
1585078043869,-17.967032967032964
1585078043871,-17.967032967032964
1585078043874,-17.967032967032964
1585078043892,-17.967032967032964
1585078043894,-17.967032967032964
1585078043925,-17.967032967032964
1585078043960,-17.967032967032964
1585078043963,-8.58974358974359
1585078043966,-17.967032967032964
1585078043996,-17.967032967032964
1585078044025,-17.967032967032964
1585078044028,-17.930402930402934
1585078044061,-17.930402930402934
1585078044095,-17.930402930402934
1585078044097,-17.930402930402934
1585078044129,-17.930402930402934
1585078044132,-17.930402930402934
1585078044178,-17.930402930402934
1585078044181,-17.930402930402934
1585078044211,-17.930402930402934
1585078044215,-17.930402930402934
1585078044247,-17.930402930402934
1585078044250,-8.553113553113555
1585078044278,-17.930402930402934
1585078044280,-17.930402930402934
1585078044314,-17.930402930402934
1585078044317,-17.930402930402934
1585078044354,-17.930402930402934
1585078044385,-17.930402930402934
1585078044387,-17.930402930402934
1585078044416,-17.930402930402934
1585078044420,-17.930402930402934
1585078044460,-17.930402930402934
1585078044462,-17.930402930402934
1585078044500,-17.930402930402934
1585078044503,-8.553113553113555
1585078044532,-17.930402930402934
1585078044535,-17.930402930402934
1585078044569,-17.930402930402934
1585078044610,-17.930402930402934
1585078044613,-17.930402930402934
1585078044616,-17.930402930402934
1585078044654,-17.930402930402934
1585078044657,-17.930402930402934
1585078044687,-17.930402930402934
1585078044718,-8.553113553113555
1585078044721,-17.930402930402934
1585078044753,-17.930402930402934
1585078044756,-17.930402930402934
1585078044777,-17.930402930402934
1585078044788,-17.930402930402934
1585078044827,-17.930402930402934
1585078044830,-17.930402930402934
1585078044852,-17.930402930402934
1585078044876,-17.930402930402934
1585078044908,-17.930402930402934
1585078044911,-17.930402930402934
1585078044921,-17.930402930402934
1585078044959,-17.930402930402934
1585078044962,-17.930402930402934
1585078045006,-17.930402930402934
1585078045009,-17.930402930402934
1585078045042,-17.930402930402934
1585078045045,-17.930402930402934
1585078045060,-17.930402930402934
1585078045078,-17.930402930402934
1585078045114,-17.930402930402934
1585078045121,-17.930402930402934
1585078045149,-17.930402930402934
1585078045163,-17.930402930402934
1585078045198,-17.930402930402934
1585078045203,-17.930402930402934
1585078045215,-17.930402930402934
1585078045248,-17.930402930402934
1585078045253,-17.930402930402934
1585078045295,-8.553113553113555
1585078045298,-17.930402930402934
1585078045319,-17.930402930402934
1585078045340,-17.930402930402934
1585078045371,-17.930402930402934
1585078045375,-17.930402930402934
1585078045393,-17.930402930402934
1585078045414,-17.930402930402934
1585078045434,-17.930402930402934
1585078045458,-17.930402930402934
1585078045484,-17.930402930402934
1585078045495,-17.930402930402934
1585078045532,-17.930402930402934
1585078045534,-17.930402930402934
1585078045548,-8.553113553113555
1585078045590,2.9413919413919416
1585078045610,2.9413919413919416
1585078045631,2.9413919413919416
1585078045652,2.9443223443223445
1585078045675,2.9443223443223445
1585078045683,2.9443223443223445
1585078045713,2.948717948717949
1585078045728,2.953113553113553
1585078045755,2.9545787545787547
1585078045766,2.953113553113553
1585078045794,2.9545787545787547
1585078045806,2.9545787545787547
1585078045830,2.953113553113553
1585078045859,2.951648351648352
1585078045862,2.9501831501831504
1585078045883,2.9501831501831504
1585078045902,2.9501831501831504
1585078045923,2.947252747252747
1585078045950,2.9457875457875464
1585078045964,2.9457875457875464
1585078046001,2.9443223443223445
1585078046003,2.9443223443223445
1585078046017,2.9443223443223445
1585078046048,2.9443223443223445
1585078046083,2.9443223443223445
1585078046085,2.9428571428571435
1585078046098,2.9413919413919416
1585078046131,2.9443223443223445
1585078046147,2.9413919413919416
1585078046154,2.93992673992674
1585078046184,2.9413919413919416
1585078046196,2.9428571428571435
1585078046228,2.93992673992674
1585078046237,2.9384615384615387
1585078046257,2.9369963369963363
1585078046278,2.9384615384615387
